106.171.128.0/17,"(35.69,139.69)"
106.177.224.0/22,"(35.6892,138.6903)"
106.177.248.0/22,"(35.6427,139.7677)"
106.18.128.0/18,"(28.1792,113.1136)"
106.186.244.0/22,"(35.6427,139.7677)"
106.187.40.0/21,"(35.69,139.69)"
106.188.160.0/20,"(34.6864,135.52)"
106.188.64.0/19,"(35.69,139.69)"
106.189.0.0/16,"(35.69,139.69)"
106.19.128.0/17,"(28.1792,113.1136)"
106.19.32.0/19,"(28.1792,113.1136)"
106.19.8.0/21,"(28.1792,113.1136)"
106.193.24.0/22,"(13.0833,80.2833)"
106.195.0.0/17,"(20,77)"
106.195.136.0/21,"(18.975,72.8258)"
106.195.192.0/21,"(18.975,72.8258)"
106.195.208.0/20,"(18.975,72.8258)"
106.196.144.0/20,"(28.5713,77.0747)"
106.196.208.0/21,"(28.6667,77.2167)"
106.20.0.0/14,"(28.1792,113.1136)"
106.205.128.0/20,"(28.6667,77.4333)"
106.207.16.0/20,"(18.975,72.8258)"
106.208.164.0/22,"(13.0833,80.2833)"
106.210.240.0/21,"(12.9833,77.5833)"
106.211.80.0/20,"(28.6,77.2)"
106.212.32.0/20,"(28.6,77.2)"
106.214.16.0/20,"(12.9833,77.5833)"
106.216.139.0/24,"(12.9833,77.5833)"
106.217.96.0/19,"(18.975,72.8258)"
106.219.64.0/18,"(18.975,72.8258)"
106.224.0.0/15,"(28.55,115.9333)"
106.227.0.0/16,"(28.55,115.9333)"
